scenario,constellation,iteration,number_of_satellites,satellite_coverage_area,pop_density_km2,users_per_km2,active_users_km2,per_user_capacity
baseline,OneWeb,48,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,49,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,50,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,51,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,52,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,53,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,54,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,55,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,56,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,57,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,58,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,59,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,60,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,61,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,62,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,63,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,64,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,65,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,66,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,67,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,68,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,69,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,70,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,71,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,72,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,73,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,74,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,75,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,76,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,77,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,78,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,79,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,80,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,81,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,82,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,83,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,84,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,85,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,86,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,87,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,88,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,89,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,90,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,91,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,92,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,93,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,94,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,95,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,96,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,97,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,98,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,99,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,0,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,1,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,2,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,3,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,4,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,5,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,6,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,7,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,8,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,9,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,10,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,11,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,12,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,13,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,14,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,15,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,16,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,17,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,18,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,19,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,20,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,21,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,22,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,23,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,24,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,25,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,26,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,27,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,28,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,29,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,30,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,31,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,32,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,33,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,34,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,35,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,36,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,37,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,38,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,39,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,40,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,41,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,42,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,43,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,44,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,45,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,46,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,47,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,48,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,49,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,50,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,51,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,52,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,53,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,54,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,55,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,56,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,57,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,58,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,59,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,60,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,61,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,62,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,63,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,64,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,65,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,66,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,67,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,68,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,69,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,70,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,71,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,72,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,73,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,74,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,75,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,76,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,77,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,78,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,79,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,80,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,81,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,82,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,83,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,84,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,85,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,86,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,87,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,88,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,89,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,90,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,91,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,92,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,93,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,94,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,95,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,96,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,97,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,98,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,99,720,708333.3333333334,1.0,1.0,0.05,133.94732272941175
baseline,OneWeb,0,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,1,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,2,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,3,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,4,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,5,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,6,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,7,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,8,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,9,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,10,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,11,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,12,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,13,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,14,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,15,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,16,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,17,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,18,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,19,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,20,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,21,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,22,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,23,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,24,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,25,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,26,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,27,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,28,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,29,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,30,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,31,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,32,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,33,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,34,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,35,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,36,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,37,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,38,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,39,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,40,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,41,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,42,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,43,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,44,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,45,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,46,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,47,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,48,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,49,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,50,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,51,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,52,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,53,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,54,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,55,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,56,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,57,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,58,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,59,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,60,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,61,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,62,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,63,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,64,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,65,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,66,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,67,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,68,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,69,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,70,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,71,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,72,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,73,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,74,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,75,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,76,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,77,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,78,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,79,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,80,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,81,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,82,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,83,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,84,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,85,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,86,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,87,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,88,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,89,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,90,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,91,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,92,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,93,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,94,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,95,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,96,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,97,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,98,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,99,720,708333.3333333334,2.0,2.0,0.1,66.97366136470588
baseline,OneWeb,0,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,1,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,2,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,3,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,4,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,5,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,6,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,7,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,8,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,9,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,10,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,11,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,12,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,13,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,14,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,15,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,16,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,17,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,18,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,19,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,20,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,21,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,22,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,23,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,24,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,25,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,26,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
baseline,OneWeb,27,720,708333.3333333334,3.0,3.0,0.15,44.649107576470584
